;date;cluster_center_lat;cluster_center_lon;Country/Sea;Region;DAY/NIGHT;cluster_category;cluster_indicators;ndetection;cluster_number
248004;2026-06-05;32.43069;-163.21736;North Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_6
248006;2026-06-05;47.666336;-150.87653;North Pacific Ocean;;NIGHT;Unclassified;HNO3:1,NH3:1;2;L2_7
248007;2026-06-05;-57.034817;-0.43198064;South Atlantic Ocean;;NIGHT;Unclassified;NH3:2;2;L2_8
248009;2026-06-05;-39.005676;-161.59677;South Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_9
248011;2026-06-05;-24.819649;14.988639;Namibia;Hardap;DAY;Unclassified;HCOOH:1;1;L2_10
248012;2026-06-05;25.061785;43.03995;Saudi Arabia;Al Qassim;DAY;Unclassified;C2H2:3,C2H4:5,CaCO3:3,CH3OH:4,HCOOH:2,HNO3:8,CO:35,CO2:36,NH3:15,SO2:7;118;L2_11
248013;2026-06-05;15.842279;24.334637;Sudan;North Darfur;DAY;Unclassified;HCOOH:1;1;L2_13
248018;2026-06-05;19.97204;11.76979;Niger;Agadez;DAY;Unclassified;CH3OH:1;1;L2_14
248049;2026-06-05;46.75488;38.705894;Russian Federation;Krasnodar;DAY;Unclassified;C2H4:1,CO2:1;2;L2_15
248050;2026-06-05;9.469609;78.18245;India;Tamil Nadu;DAY;Unclassified;CO:1;1;L2_16
248051;2026-06-05;21.580925;81.37179;India;Chhattisgarh;DAY;Unclassified;HCOOH:1,CO:1,NH3:1;3;L2_17
248064;2026-06-05;36.61692;-115.54729;United States;Nevada;NIGHT;Unclassified;HNO3:1;1;L2_20
248065;2026-06-05;38.71319;81.833015;China;Xinjiang Uygur;DAY;Unclassified;CO:1;1;L2_21
248066;2026-06-05;38.83615;-109.18402;United States;Utah;NIGHT;Unclassified;NH3:2;2;L2_23
248068;2026-06-05;44.33531;86.638954;China;Xinjiang Uygur;DAY;Unclassified;C2H2:1,CaCO3:1,CH3OH:1,HCOOH:4,CO:2,CO2:7;16;L2_24
248084;2026-06-05;48.295044;95.602936;Mongolia;Dzavhan;DAY;Unclassified;CO2:2;2;L2_25
248086;2026-06-05;50.955746;78.548965;Kazakhstan;East Kazakhstan;DAY;Unclassified;CO2:1;1;L2_26
248087;2026-06-05;-75.79609;115.25151;Antarctica;;NIGHT;Unclassified;NH3:2;2;L2_27
248089;2026-06-05;18.232637;-95.462326;Mexico;Veracruz;DAY;Unclassified;SO2:2;2;L2_28
248091;2026-06-05;25.0417;81.80178;India;Uttar Pradesh;NIGHT;Unclassified;HCOOH:1;1;L2_18
248092;2026-06-05;25.368599;74.62673;India;Rajasthan;NIGHT;Unclassified;CO2:1,SO2:1;2;L2_29
248093;2026-06-05;29.96998;-102.39688;United States;Texas;DAY;Unclassified;CO2:2;2;L2_30
248094;2026-06-05;35.27969;-115.976524;United States;California;DAY;Unclassified;C2H2:1,CH3OH:4,CO:13,CO2:10,NH3:1,SO2:5;34;L2_19
248100;2026-06-05;36.60508;-108.72441;United States;New Mexico;DAY;Unclassified;CO2:1;1;L2_22
248101;2026-06-05;37.8367;-102.55087;United States;Colorado;DAY;Unclassified;CO:1,NH3:2;3;L2_31
248104;2026-06-05;25.99647;-0.8797039;Algeria;Adrar;NIGHT;Unclassified;HCOOH:2,HNO3:2,CO2:1;5;L2_2
248109;2026-06-05;-25.849298;142.41718;Australia;Queensland;DAY;Unclassified;HNO3:2,NH3:2;4;L2_32
248188;2026-06-05;38.617546;54.08111;Turkmenistan;Balkan;DAY;Unclassified;CO:1;1;L2_33
248189;2026-06-05;41.68321;64.06546;Uzbekistan;Navoiy;DAY;Unclassified;C2H2:1,CH3OH:2,CO2:6,NH3:2;11;L2_34
248199;2026-06-05;46.76645;49.388863;Kazakhstan;Atyrau;DAY;Unclassified;C2H4:2;2;L2_35
248201;2026-06-05;-41.64484;-28.103947;South Atlantic Ocean;;DAY;Unclassified;HCOOH:2;2;L2_36
248203;2026-06-05;-17.45786;36.197056;Mozambique;Zambezia;NIGHT;Unclassified;NH3:2;2;L2_37
248205;2026-06-05;26.321295;39.00511;Saudi Arabia;Al Madinah;NIGHT;Unclassified;CH3OH:1,HCOOH:4,HNO3:7,CO:1,CO2:3,SO2:1;17;L2_12
248212;2026-06-05;36.41126;18.43484;Mediterranean Sea - Eastern Basin;;NIGHT;Unclassified;NH3:2;2;L2_38
248214;2026-06-05;52.279083;-143.58524;North Pacific Ocean;;DAY;Unclassified;NH3:2;2;L2_39
248216;2026-06-05;-38.316616;137.77888;Great Australian Bight;;NIGHT;Unclassified;NH3:2;2;L2_40
248218;2026-06-05;-58.2824;76.560036;Indian Ocean;;NIGHT;Unclassified;NH3:2;2;L2_41
248229;2026-06-05;-58.906815;87.35841;Indian Ocean;;NIGHT;Unclassified;HNO3:3;3;L2_43
248232;2026-06-05;35.269924;114.289734;China;Henan;DAY;Unclassified;NH3:2;2;L2_44
248233;2026-06-05;43.8273;122.44222;China;Nei Mongol;DAY;Unclassified;NH3:4;4;L2_45
248237;2026-06-05;-62.72448;70.79797;Southern Ocean;;NIGHT;Unclassified;NH3:2;2;L2_46
248239;2026-06-05;-58.30596;92.063866;Indian Ocean;;DAY;Unclassified;HNO3:3;3;L2_42
248242;2026-06-05;27.381393;107.16016;China;Guizhou;DAY;Unclassified;NH3:2;2;L2_47
248245;2026-06-05;36.77688;91.76458;China;Qinghai;DAY;Unclassified;C2H4:2,NH3:1;3;L2_48
248246;2026-06-05;37.328445;103.161606;China;Gansu;DAY;Unclassified;HCOOH:1,CO:2,CO2:1;4;L2_49
248252;2026-06-05;-14.288755;-141.24197;South Pacific Ocean;;DAY;Unclassified;NH3:2;2;L2_50
248279;2026-06-06;21.330002;52.52044;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4_1:24,CO2_1:105,CO2_2:36,CO_3:63,HNO3_1:297,NH3_1:3,SO2_6:18;546;L3_1
248296;2026-06-06;17.823912;52.418633;Yemen;Al Mahrah;NIGHT;others;HNO3_1:43,SO2_6:4;47;L3_2
248577;2026-06-06;22.236683;0.95215565;Algeria;Adrar;DAY;fire_type_1;C2H4_1:2,CO2_1:5,CO_3:1;8;L3_3
248627;2026-06-06;27.74486;11.941383;Libya;Wadi ash Shati';DAY;fire_type_1;C2H4_1:9,CO2_1:47,CO_3:14,HNO3_1:17;87;L3_5
248663;2026-06-06;22.81384;52.167965;Saudi Arabia;Ash-Sharqīyah;NIGHT;others;HCOOH_1:2,SO2_1:1,SO2_6:4;7;L3_4
248681;2026-06-06;23.208397;33.93652;Egypt;Al Bahr al Ahmar;DAY;fire_type_1;C2H4_1:1,CO2_1:4,CO_3:2;7;L3_6
248743;2026-06-06;27.774946;27.038485;Egypt;Matrouh;DAY;fire_type_1;C2H4_1:2,CO2_1:17,CO2_2:5,CO_3:7,HNO3_1:9,SO2_6:2;42;L3_7
248751;2026-06-06;24.808233;38.351006;Saudi Arabia;Al Madinah;DAY;fire_type_1;CO2_1:1,CO2_2:1,CO_3:1;3;L3_16
248762;2026-06-06;26.678421;71.242775;India;Rajasthan;DAY;fire;CO2_2:9;9;L3_8
248940;2026-06-06;31.440683;73.981285;Pakistan;Punjab;DAY;fire;HCOOH_1:5,NH3_1:1;6;L3_10
248945;2026-06-06;31.604439;-4.1863313;Morocco;Meknès - Tafilalet;DAY;others;CO2_1:1,HNO3_1:4,SO2_6:1;6;L3_9
248950;2026-06-06;33.21431;39.80029;Iraq;Al-Anbar;DAY;fire_type_1;C2H4_1:2,CO2_1:3,CO_3:2,HNO3_1:3;10;L3_11
249017;2026-06-06;39.56578;105.04366;China;Nei Mongol;DAY;others;CO2_2:3,HCOOH_1:4,SO2_6:3;10;L3_13
249018;2026-06-06;41.629295;60.55405;Uzbekistan;Xorazm;DAY;fire_type_1;CO2_1:24,CO2_2:8,CO_3:3,HNO3_1:3;38;L3_12
249059;2026-06-06;45.988277;86.75747;China;Xinjiang Uygur;DAY;fire_type_1;CO2_1:1,CO_3:1,HCOOH_1:2,NH3_3:2;6;L3_14
249069;2026-06-06;56.235443;161.20984;Russian Federation;Kamchatka;DAY;volcano;SO2_2:3,SO2_3:2,SO2_4:3,SO2_5:2,SO2_6:4,Surf_3:2;16;L3_17
249071;2026-06-06;56.647747;161.62898;Russian Federation;Kamchatka;NIGHT;others;SO2_6:4;4;L3_15
249077;2026-06-06;-17.031082;11.180137;South Atlantic Ocean;;NIGHT;Unclassified;NH3:2;2;L2_1
249079;2026-06-06;28.288206;55.482777;Iran;Hormozgan;NIGHT;Unclassified;C2H4:2,HNO3:6,CO:1,CO2:2,SO2:4;15;L2_3
249086;2026-06-06;36.481495;-114.596664;United States;Nevada;DAY;Unclassified;HNO3:5,CO:2,CO2:6,SO2:3;16;L2_4
249110;2026-06-06;-25.202173;170.70723;South Pacific Ocean;;DAY;Unclassified;NH3:2;2;L2_6
249112;2026-06-06;-9.175998;120.70366;Savu Sea;;DAY;Unclassified;CO2:2;2;L2_7
249114;2026-06-06;37.161034;127.366135;South Korea;Gyeonggi-do;DAY;Unclassified;NH3:1;1;L2_8
249115;2026-06-06;44.620975;121.72489;China;Nei Mongol;DAY;Unclassified;CH3OH:1;1;L2_9
249116;2026-06-06;-17.360813;-135.15337;South Pacific Ocean;;DAY;Unclassified;CH3OH:2;2;L2_10
249118;2026-06-06;-61.885418;-112.25772;Southern Ocean;;NIGHT;Unclassified;NH3:2;2;L2_11
249120;2026-06-06;-39.439625;-112.407585;South Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_12
249122;2026-06-06;12.140667;-123.81989;North Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_13
249124;2026-06-06;-2.35262;99.138084;Indian Ocean;;DAY;Unclassified;HCOOH:1;1;L2_14
249125;2026-06-06;33.97475;114.05317;China;Henan;DAY;Unclassified;HCOOH:9,NH3:1;10;L2_15
249135;2026-06-06;43.245407;106.49165;Mongolia;Ömnögovi;DAY;Unclassified;CO2:1;1;L2_16
249136;2026-06-06;48.704273;126.08471;China;Heilongjiang;DAY;Unclassified;NH3:1;1;L2_17
249137;2026-06-06;74.04612;-168.46431;Arctic Ocean;;DAY;Unclassified;NH3:2;2;L2_18
249139;2026-06-06;-72.80957;-12.622668;Antarctica;;NIGHT;Unclassified;NH3:1,SO2:1;2;L2_19
249140;2026-06-06;-14.889936;-12.999922;South Atlantic Ocean;;DAY;Unclassified;NH3:2;2;L2_20
249142;2026-06-06;23.475422;9.629089;Algeria;Tamanghasset;DAY;Unclassified;C2H2:1,CH3OH:1,CO:2,CO2:4,SO2:3;11;L2_22
249144;2026-06-06;22.82912;-3.4320626;Mali;Timbuktu;DAY;Unclassified;C2H4:1,HCOOH:5,HNO3:1,CO:9,CO2:5,NH3:2;23;L2_23
249175;2026-06-06;51.819763;19.139072;Poland;Łódzkie;DAY;Unclassified;NH3:2;2;L2_24
249177;2026-06-06;-26.35126;-81.15025;South Pacific Ocean;;DAY;Unclassified;HNO3:2;2;L2_25
249179;2026-06-06;55.188663;161.72102;Russian Federation;Kamchatka;NIGHT;Unclassified;SO2:4;4;L2_27
249181;2026-06-06;-6.7120914;115.294174;Java Sea;;NIGHT;Unclassified;CaCO3:1,HCOOH:2;3;L2_28
249184;2026-06-06;-16.122969;50.8213;Indian Ocean;;DAY;Unclassified;NH3:2;2;L2_29
249186;2026-06-06;27.467846;53.68809;Iran;Fars;DAY;Unclassified;C2H2:1,C2H4:2,CaCO3:3,CH3OH:2,HCN:2,HCOOH:3,HNO3:6,CO:17,CO2:16,NH3:15,SO2:10;77;L2_2
249189;2026-06-06;11.895569;41.6127;Ethiopia;Afar;DAY;Unclassified;C2H4:1;1;L2_30
249241;2026-06-06;25.352863;33.032673;Egypt;Qina;DAY;Unclassified;C2H4:4,CaCO3:2,CH3OH:1,HCN:1,HCOOH:1,HNO3:4,CO:15,CO2:21,NH3:4,SO2:7;60;L2_31
249264;2026-06-06;44.644604;70.616806;Kazakhstan;Zhambyl;DAY;Unclassified;CaCO3:1,HCOOH:1,CO2:1;3;L2_33
249272;2026-06-06;48.589523;46.228374;Russian Federation;Astrakhan';DAY;Unclassified;CaCO3:1;1;L2_34
249273;2026-06-06;24.69495;-143.26132;North Pacific Ocean;;DAY;Unclassified;NH3:1;1;L2_35
249274;2026-06-06;27.248909;20.674206;Libya;Al Wahat;NIGHT;Unclassified;NH3:1;1;L2_32
249275;2026-06-06;25.562777;142.6221;North Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_36
249277;2026-06-06;12.493019;-105.508064;North Pacific Ocean;;DAY;Unclassified;CaCO3:1,SO2:1;2;L2_37
249278;2026-06-06;23.078;-100.41929;Mexico;San Luis Potosí;DAY;Unclassified;CH3OH:2;2;L2_38
249280;2026-06-06;25.614712;-108.68509;Mexico;Sinaloa;DAY;Unclassified;C2H4:1;1;L2_39
249281;2026-06-06;43.318134;-92.524185;United States;Iowa;DAY;Unclassified;CO:2;2;L2_40
249283;2026-06-06;61.70792;-84.470726;Hudson Bay;;DAY;Unclassified;SO2:2;2;L2_41
249285;2026-06-06;-29.480358;65.71122;Indian Ocean;;DAY;Unclassified;NH3:3;3;L2_42
249288;2026-06-06;28.796442;79.60354;India;Uttar Pradesh;DAY;Unclassified;C2H4:1,HCOOH:4,HNO3:1,CO2:1,NH3:2,SO2:2;11;L2_43
249289;2026-06-06;29.909004;71.15516;Pakistan;Punjab;DAY;Unclassified;HCOOH:1,CO:1,NH3:3;5;L2_44
249303;2026-06-06;45.541355;91.04771;Mongolia;Hovd;DAY;Unclassified;C2H4:1,CH3OH:1,HNO3:2,CO:1,CO2:6,NH3:1;12;L2_45
249316;2026-06-06;67.5506;-124.65246;Canada;Northwest Territories;DAY;Unclassified;SO2:2;2;L2_46
249318;2026-06-06;-64.141266;3.4851606;Southern Ocean;;NIGHT;Unclassified;HNO3:2;2;L2_47
249320;2026-06-06;-17.7582;-8.84323;South Atlantic Ocean;;NIGHT;Unclassified;NH3:1;1;L2_21
249321;2026-06-06;56.63152;160.34991;Russian Federation;Kamchatka;DAY;Unclassified;SO2:29;29;L2_26
249334;2026-06-06;17.966536;-14.682681;Mauritania;Trarza;DAY;Unclassified;C2H2:1,C2H4:6,CO:4,NH3:3;14;L2_48
249347;2026-06-06;28.039288;-20.38353;North Atlantic Ocean;;DAY;Unclassified;NH3:2;2;L2_49
249349;2026-06-06;44.35698;-114.831375;United States;Idaho;NIGHT;Unclassified;NH3:3;3;L2_5
249409;2026-06-06;37.012863;37.274937;Turkiye;Gaziantep;DAY;Unclassified;CO2:1;1;L2_50
249410;2026-06-06;38.136185;27.228212;Turkiye;Izmir;DAY;Unclassified;HCOOH:2;2;L2_51
249412;2026-06-07;-13.010559;130.21777;Australia;Northern Territory;DAY;extrem;CO_1 CO_2 CO_3 CO2_1 Band_3;5;L3_1
249413;2026-06-07;-1.44892;29.205149;Congo DRC;Nord-Kivu;DAY;extrem;CO_3 CO2_1 CO2_2 Band_3;4;L3_2
249414;2026-06-07;14.42119;40.159855;Ethiopia;Afar;DAY;fire_type_1;C2H4_1:1,CO2_1:1,CO_3:3,HNO3_1:1;6;L3_3
249417;2026-06-07;22.07493;54.204308;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4_1:25,CO2_1:99,CO2_2:45,CO_2:11,CO_3:60,HNO3_1:227,SO2_6:16;483;L3_5
249517;2026-06-07;20.113735;33.05391;Sudan;River Nile;DAY;fire_type_1;C2H4_1:2,CO2_1:7,CO2_2:2,CO_2:2,CO_3:5,SO2_6:1;19;L3_10
249524;2026-06-07;19.918589;53.803074;Saudi Arabia;Ash-Sharqīyah;NIGHT;others;CO2_1:2,HCOOH_1:8,HNO3_1:11,NH3_3:1,SO2_1:1,SO2_6:1;24;L3_4
249531;2026-06-07;25.6268;14.116502;Libya;Murzuq;DAY;fire_type_1;CO2_1:30,CO2_2:4,CO_2:1,CO_3:19,HNO3_1:23,SO2_6:2;79;L3_8
249569;2026-06-07;25.131939;-8.515359;Mauritania;Tiris Zemmour;DAY;fire_type_1;C2H4_1:9,CO2_1:16,CO2_2:10,CO_2:5,CO_3:48,HNO3_1:5,SO2_6:1;94;L3_7
249740;2026-06-07;27.851833;42.164948;Saudi Arabia;Ḥaʼil;DAY;fire_type_1;C2H4_1:8,CO2_1:23,CO2_2:4,CO_2:1,CO_3:15,HNO3_1:17,SO2_6:1;69;L3_11
249930;2026-06-07;28.991268;1.7323626;Algeria;Adrar;DAY;others;C2H4_1:2,CO2_1:4,HNO3_1:7;13;L3_12
249973;2026-06-07;30.2417;85.00004;China;Xizang;DAY;others;CO2_2:17,HNO3_1:2,SO2_2:9,SO2_3:9;37;L3_13
250127;2026-06-07;32.38231;56.079617;Iran;Yazd;NIGHT;others;HNO3_1:6;6;L3_6
250188;2026-06-07;39.479565;63.611763;Uzbekistan;Buxoro;DAY;fire_type_1;CO2_1:30,CO2_2:11,CO_3:8,NH3_2:2,NH3_3:1;52;L3_14
250220;2026-06-07;41.645603;102.004684;China;Nei Mongol;DAY;fire_type_1;CO2_2:4,CO_3:1;5;L3_15
250228;2026-06-07;46.4212;93.76808;Mongolia;Govi-Altay;DAY;fire_type_1;CO2_1:2,CO2_2:14,CO_3:1,HNO3_1:1,NH3_2:1;19;L3_16
250263;2026-06-07;56.320396;160.5881;Russian Federation;Kamchatka;NIGHT;others;SO2_4:2,SO2_6:3;5;L3_9
250266;2026-06-07;57.16402;159.38446;Russian Federation;Kamchatka;DAY;others;SO2_4:5,SO2_6:5;10;L3_17
250271;2026-06-07;21.861763;54.74344;Saudi Arabia;Ash-Sharqīyah;NIGHT;Unclassified;CO2:1,NH3:1,SO2:2;4;L2_1
250275;2026-06-07;27.529474;52.507343;Persian Gulf;;NIGHT;Unclassified;SO2:2;2;L2_2
250277;2026-06-07;29.271969;65.344765;Pakistan;Balochistan;NIGHT;Unclassified;CO2:2;2;L2_3
250279;2026-06-07;-21.471703;121.60479;Australia;Western Australia;DAY;Unclassified;HNO3:2;2;L2_4
250281;2026-06-07;20.995771;130.0292;Philippine Sea;;DAY;Unclassified;HNO3:2;2;L2_5
250283;2026-06-07;56.38837;160.92664;Russian Federation;Kamchatka;DAY;Unclassified;SO2:9;9;L2_6
250289;2026-06-07;24.040329;-9.235691;Mauritania;Tiris Zemmour;DAY;Unclassified;C2H4:1,CH3OH:4,HCOOH:4,HNO3:1,CO2:2,NH3:3,SO2:5;20;L2_8
250308;2026-06-07;55.689713;157.0903;Russian Federation;Kamchatka;NIGHT;Unclassified;SO2:29;29;L2_7
250321;2026-06-07;20.712357;15.031531;Niger;Agadez;DAY;Unclassified;CH3OH:1,HCN:1,HNO3:1,CO:2,CO2:1,NH3:3;9;L2_9
250327;2026-06-07;24.773228;8.900621;Algeria;Illizi;DAY;Unclassified;CO:3,CO2:3;6;L2_10
250337;2026-06-07;30.717764;19.970997;Libya;Al Wahat;DAY;Unclassified;CaCO3:3,CO:1;4;L2_11
250341;2026-06-07;33.40869;9.80171;Tunisia;Gabès;DAY;Unclassified;CO2:1;1;L2_12
250342;2026-06-07;51.496765;21.899227;Poland;Lubelskie;DAY;Unclassified;CaCO3:1,HCOOH:1;2;L2_13
250343;2026-06-07;-40.08771;-101.63972;South Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_14
250345;2026-06-07;28.189886;85.06261;Nepal;Central;DAY;Unclassified;HCN:1,HCOOH:3,CO:1,CO2:2,NH3:2,SO2:2;11;L2_15
250351;2026-06-07;30.35368;75.71173;India;Punjab;DAY;Unclassified;CH3OH:1,HCOOH:3,NH3:2,SO2:2;8;L2_16
250363;2026-06-07;41.694313;99.31566;China;Nei Mongol;DAY;Unclassified;C2H2:2,C2H4:2,HCOOH:3,HNO3:3,CO:1,CO2:5,NH3:2,SO2:9;27;L2_17
250381;2026-06-07;-28.986113;-26.697327;South Atlantic Ocean;;DAY;Unclassified;CO2:2,NH3:2;4;L2_18
250385;2026-06-07;10.265488;143.46382;North Pacific Ocean;;NIGHT;Unclassified;NH3:2;2;L2_19
250387;2026-06-07;29.424809;-103.36482;United States;Texas;DAY;Unclassified;HCOOH:1;1;L2_20
250388;2026-06-07;44.612995;-91.12107;United States;Wisconsin;DAY;Unclassified;CO2:2;2;L2_21
250390;2026-06-07;58.738983;91.06511;Russian Federation;Krasnoyarsk;NIGHT;Unclassified;CO:1;1;L2_23
250391;2026-06-07;17.42839;32.30779;Sudan;Northern;DAY;Unclassified;CH3OH:1,CO:1,CO2:3,NH3:3;8;L2_24
250392;2026-06-07;14.333559;40.583614;Eritrea;Debubawi Keyih Bahri;DAY;Unclassified;NH3:1;1;L2_25
250398;2026-06-07;19.271149;22.944798;Chad;Ennedi Est;DAY;Unclassified;CO2:2;2;L2_26
250399;2026-06-07;27.278181;34.615353;Red Sea;;DAY;Unclassified;C2H2:1,C2H4:2,HCOOH:2,HNO3:5,CO:11,CO2:9,NH3:8,SO2:5;43;L2_27
250444;2026-06-07;41.856853;41.48803;Black Sea;;DAY;Unclassified;CO:1,NH3:1;2;L2_28
250445;2026-06-07;59.514084;91.23383;Russian Federation;Krasnoyarsk;DAY;Unclassified;C2H4:1,CO:3,CO2:1;5;L2_22
250454;2026-06-07;-19.786612;-102.30554;South Pacific Ocean;;DAY;Unclassified;NH3:2;2;L2_29
250456;2026-06-07;-13.858279;-99.386086;South Pacific Ocean;;DAY;Unclassified;HNO3:1,CO:1;2;L2_30
